종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
7130,2982,0.03,2912,174,55.95,6.5
7148,1772,-8.52,1976,505,27.03,4.46
7157,2115,0.91,2172,106,44.36,5.1
7164,3208,0.0,3167,126,59.88,2.62
7167,1263,1.98,1222,175,50.97,6.93
7172,1936,0.57,1946,136,43.72,4.45
7173,11250,2.37,11080,108,48.99,8.11
7177,912,-0.22,918,96,45.55,4.61
7180,1195,0.42,1198,239,45.68,7.45
7181,1638,2.27,1585,137,56.22,5.59
7182,2639,0.23,2707,163,38.74,6.5
7184,2547,-0.27,2471,108,56.56,12.48
7186,1444,0.98,1478,91,40.91,7.03
7187,1278,0.08,1319,184,36.86,5.84
7189,3900,0.75,3977,200,42.47,8.14
7191,1125,0.45,1138,61,40.98,5.9
7192,656,0.92,675,181,37.24,16.7
7198,862,-0.12,867,113,46.34,3.63
7199,1696,0.65,1776,79,31.33,4.83
7201,348,-0.94,369,96,35.44,10.56
7202,2324,0.85,2511,105,32.54,6.32
7203,3408,0.59,3465,175,43.2,7.47
7205,387,-5.38,406,167,41.4,12.18
7211,334,-1.99,367,171,26.15,10.62
7212,718,-0.14,755,148,34.4,5.43
7220,2950,1.97,2824,37,53.08,15.43
7222,991,-0.8,1010,150,39.84,9.18
7224,2486,0.16,2486,115,47.77,7.46
7226,3045,0.33,3131,147,40.07,5.14
7231,3110,0.65,3270,173,36.94,7.94
7236,8330,-1.07,9318,193,31.32,16.59
7238,124,1.64,129,55,40.68,36.09
7239,2117,0.38,2154,190,39.8,3.82
7240,2946,-0.27,3044,140,37.08,3.6
7241,998,0.6,1037,146,34.87,4.46
7242,4420,-0.34,4546,181,38.7,5.37
7244,500,-0.99,506,106,41.21,5.42
7245,915,0.0,1009,90,28.12,7.12
7246,848,0.47,873,152,39.04,7.41
7250,3015,-0.17,3016,394,50.0,4.8
7256,273,-1.8,283,51,49.06,37.56
7259,2281,0.48,2403,124,31.54,4.65
7261,1123,0.54,1169,155,37.98,12.91
7267,1340,1.52,1403,184,26.98,3.87
7269,1933,-0.64,2028,165,33.42,6.02
7270,2601,0.35,2662,119,37.3,5.45
7272,1139,1.65,1132,141,48.17,11.97
7276,2533,-0.2,2597,124,43.42,7.2
7277,371,0.82,383,231,34.67,5.79
7278,5830,0.17,5811,145,45.92,5.06
7280,1236,0.49,1288,136,41.6,26.0
7282,4179,-1.44,4457,114,32.17,7.74
7283,1949,0.36,2001,97,39.01,4.75
7294,958,4.36,971,219,40.48,4.91
