종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
9041,3289,0.03,3207,187,67.72,2.48
9042,4579,2.0,4292,182,76.63,4.29
9044,3151,1.35,3030,246,67.13,2.53
9045,3366,0.42,3310,157,56.39,2.41
9048,1768,-0.11,1768,195,48.27,2.5
9052,2055,0.2,2033,528,61.15,2.3
9064,1772,0.28,1786,136,44.85,2.76
9065,8836,-0.6,9259,104,31.76,3.49
9067,941,-0.11,942,229,55.56,0.42
9068,8650,-0.23,8651,139,51.5,10.73
9069,1808,0.08,1835,309,42.59,3.71
9072,5279,9.12,4143,269,74.65,12.28
9075,5610,-0.18,5655,129,43.37,12.72
9076,2529,-0.37,2549,120,40.99,2.82
9081,3540,-1.26,3594,352,44.63,3.08
9090,906,0.89,916,101,42.07,3.86
9101,5896,1.92,5695,127,61.17,8.25
9104,7022,2.33,6287,87,69.36,12.49
9107,2770,2.86,2652,172,58.79,9.49
9110,7740,0.52,7431,106,61.11,6.39
9115,1400,-4.96,1020,56,76.65,26.95
9119,1867,0.81,1724,104,69.87,6.69
9142,3821,0.03,3811,206,51.17,2.24
9143,1522,-1.2,1502,230,59.13,4.23
9145,664,-1.78,707,74,39.75,5.77
9147,3592,0.45,3682,118,36.88,5.18
9201,2685,0.36,2713,146,47.81,6.01
9202,2983,-0.17,3020,146,44.03,4.49
9301,1367,-1.23,1385,184,42.18,3.33
9302,4118,0.05,3881,193,67.6,12.85
9303,4150,-2.12,4044,142,58.65,4.57
9304,1351,0.6,1347,120,45.33,4.04
9305,2345,3.72,2216,166,59.04,4.65
9306,2131,1.48,2105,200,53.43,3.42
9308,1509,-6.45,1612,376,39.45,9.67
9310,1284,-0.77,1257,199,54.07,7.28
9319,1920,1.69,1821,181,64.6,7.78
9324,2446,0.91,2402,208,48.11,10.45
9325,1201,0.59,1190,81,51.65,6.28
9326,435,0.46,449,554,34.43,6.19
9347,2874,0.31,2849,166,54.01,2.03
9364,5550,-0.14,5614,166,44.26,3.1
9381,2218,0.36,2220,451,48.56,4.18
9401,5832,1.11,5738,208,49.59,5.79
9404,3256,1.46,3231,190,47.89,4.82
9405,909,-1.09,883,311,62.28,12.26
9409,3640,1.39,3349,99,67.01,7.16
9412,3050,-0.65,2894,90,54.94,13.63
9413,4275,1.3,4232,169,50.8,4.61
9416,1168,1.21,1197,159,36.09,3.85
9418,1649,1.6,1737,105,26.39,3.67
9424,131,0.0,132,165,42.42,7.75
9432,159,0.13,155,169,77.62,1.92
9433,2723,0.48,2672,157,60.3,3.59
9434,218,-0.27,214,181,67.56,2.06
9435,41000,0.05,42615,136,37.2,5.06
9436,3505,0.86,3407,74,58.82,6.51
9438,654,0.93,661,96,45.45,8.32
9449,2863,0.92,2859,104,46.15,4.67
9450,714,0.42,693,63,61.79,4.24
9468,3825,5.55,3230,172,87.14,8.32
9470,1021,-0.58,1032,86,43.54,2.89
9474,1010,0.5,1005,167,48.06,2.21
9475,572,-1.21,550,308,72.73,4.3
9501,635,1.89,638,130,48.99,16.3
9502,2636,1.56,2541,135,60.49,5.81
9503,2675,1.71,2587,179,57.45,6.46
9504,1020,2.0,990,138,59.51,3.99
9505,1107,2.26,1063,157,58.22,6.22
9506,1212,2.41,1164,97,58.54,5.0
9507,1791,1.07,1698,125,65.27,6.53
9508,1844,1.21,1796,100,55.51,4.64
9509,1106,2.41,1077,108,56.47,7.8
9511,1070,0.56,1067,192,47.14,3.92
9513,4207,6.1,3865,264,68.09,6.51
9517,932,-1.58,842,199,66.12,10.93
9519,801,3.09,748,175,62.18,12.15
9531,7757,1.58,7578,149,48.71,5.32
9532,6463,1.25,6387,164,45.4,5.78
9533,1215,2.16,1286,112,31.37,4.8
9535,411,1.48,387,40,66.27,7.16
9536,2587,0.66,2549,354,48.96,4.72
9543,1525,1.33,1523,172,38.69,6.35
9552,604,1.17,646,51,24.44,6.96
9601,11740,1.03,11320,234,73.48,4.6
9602,1652,1.47,1590,144,64.05,7.33
9603,1073,0.94,1117,116,32.78,3.74
9605,5970,0.0,5673,215,68.52,4.49
9612,1535,-0.58,1625,95,39.07,7.86
9616,2502,0.72,2520,213,41.04,4.27
9619,2115,0.0,2095,177,52.8,4.63
9621,3085,-0.16,3095,225,51.09,6.24
9627,5608,0.54,5622,96,48.84,2.62
9628,1379,-0.86,1441,158,35.11,3.27
9629,1741,0.35,1817,138,21.37,2.96
9632,3675,-2.0,3645,90,51.16,9.42
9633,1696,-0.53,1660,151,71.6,4.67
9644,725,1.54,721,186,49.57,4.9
9658,975,0.86,992,131,37.27,3.35
9672,5850,0.17,5763,104,50.51,4.11
9678,4400,0.8,4270,155,60.98,11.39
9682,1048,0.0,1086,140,26.85,4.36
9684,2537,1.85,2564,168,46.58,8.81
9692,1954,1.19,1977,159,48.91,4.31
9697,3407,3.09,3477,97,51.81,12.12
9704,42,2.44,43,42,36.36,13.04
9706,5418,1.1,5115,81,63.76,7.43
9715,3975,1.02,3937,164,51.69,10.08
9716,1326,0.23,1362,123,36.12,7.89
9719,179746832384,3170138037.28,8987347003,0,100.0,3175719288.78
9722,2060,1.68,2133,122,32.46,9.22
9726,1761,0.23,1657,138,60.55,8.39
9729,2548,0.71,2505,217,54.55,5.22
9731,3480,0.0,3618,111,39.18,8.95
9735,5962,0.9,5969,150,50.46,7.85
9739,2444,0.41,2380,165,63.37,3.12
9742,2014,-1.52,2115,76,43.07,7.03
9743,1531,1.8,1533,115,45.32,5.93
9744,3371,0.57,3353,122,49.55,2.41
9746,3730,1.22,3776,160,39.81,5.58
9755,2963,1.13,2983,140,41.68,6.55
9757,1143,0.35,1129,220,49.68,4.56
9759,2837,1.01,2831,149,42.54,4.9
9760,150,-2.6,158,207,21.05,3.68
9763,1525,0.44,1561,167,40.86,5.99
9766,19630,1.6,20063,146,44.87,10.61
9769,2399,0.5,2393,221,45.08,2.19
9788,552,0.36,538,287,71.43,2.97
9793,3910,0.39,3908,98,52.03,4.32
9795,2514,1.74,2498,273,47.76,6.81
9824,6050,-0.33,6166,148,48.98,5.8
9828,2944,-0.07,2929,372,48.61,3.54
9830,2342,0.26,2368,129,45.04,4.53
9831,547,0.09,550,189,42.64,3.07
9832,1611,0.37,1643,145,31.82,4.27
9837,1878,-0.05,1955,149,36.65,4.81
9842,1801,0.39,1823,156,42.36,2.44
9843,2640,0.48,2807,121,33.17,10.04
9850,993,-1.0,989,236,56.52,2.35
9856,1232,-0.16,1253,207,39.91,3.75
9861,3340,1.46,3163,138,79.7,2.32
9869,6730,1.05,6551,198,61.84,5.39
9882,1595,0.57,1624,191,36.68,3.32
9887,5660,0.0,5646,205,56.92,4.33
9889,1254,0.64,1303,152,36.92,5.9
9896,1492,1.15,1498,197,49.43,4.2
9900,1820,0.33,1820,342,42.67,2.59
9902,2424,0.0,2420,164,54.4,2.79
9903,865,-1.7,862,55,50.55,3.53
9928,1772,1.55,1744,115,53.09,3.03
9934,2685,0.52,2666,162,51.3,3.64
9936,3150,0.16,3146,200,45.16,2.86
9946,1810,1.0,1802,107,53.65,3.37
9948,3770,0.0,3713,192,61.73,3.94
9956,3705,0.14,3605,151,59.85,6.94
9960,3890,-0.89,4115,121,36.93,6.12
9962,2781,-1.38,2894,196,41.63,9.56
9972,272,0.37,273,433,46.15,8.83
9974,7560,0.27,7544,148,55.29,7.51
9979,1094,-0.09,1106,236,46.98,3.19
9983,61780,-0.15,64290,123,35.22,10.67
9984,3946,3.24,3754,93,50.49,13.39
9987,6000,0.84,6104,131,34.73,2.85
9989,3933,0.28,4002,137,44.35,3.41
9990,835,0.72,828,252,52.24,2.86
9991,1856,0.49,1836,253,51.0,6.38
9993,1150,-0.43,1162,373,28.12,2.62
9994,2223,-0.54,2259,236,41.93,3.02
9997,912,0.22,925,168,40.79,3.15
